age,job,marital,education,default,balance,housing,loan,day,month,duration,campaign,pdays,previous,deposit
24,unemployed,single,secondary,no,2573,no,no,24,may,375,2,-1,0,yes
34,services,married,primary,no,31,no,yes,9,jul,53,3,-1,0,no
44,selfEmployed,married,unknown,no,680,yes,no,30,jul,84,4,-1,0,no
39,blueCollar,single,secondary,no,522,yes,no,14,may,225,7,350,2,no
33,admin,married,secondary,no,51,yes,yes,25,oct,253,1,284,3,yes
23,student,single,secondary,no,556,yes,no,15,may,170,2,-1,0,no
47,blueCollar,married,primary,no,2749,yes,no,30,apr,774,2,164,1,yes
32,technician,married,secondary,no,253,yes,no,21,nov,76,1,170,3,no
24,blueCollar,single,secondary,no,167,no,yes,18,feb,134,2,-1,0,yes
47,blueCollar,married,secondary,no,665,no,no,18,aug,885,3,-1,0,no
54,management,married,tertiary,no,195,no,yes,4,feb,47,1,265,6,no
32,management,married,tertiary,no,169,no,no,14,aug,698,2,-1,0,yes
38,services,single,secondary,no,895,yes,no,12,may,1531,1,-1,0,yes
46,admin,married,tertiary,no,2552,no,no,3,sep,260,1,94,8,yes
32,technician,single,unknown,no,317,yes,no,21,may,394,2,-1,0,no
49,admin,married,secondary,no,1047,no,no,8,aug,133,4,-1,0,no
29,blueCollar,single,unknown,no,694,yes,yes,16,jul,1806,4,-1,0,yes
38,admin,divorced,secondary,no,198,yes,no,26,may,431,2,-1,0,yes
29,blueCollar,married,secondary,no,246,yes,no,28,jul,194,5,-1,0,no
49,services,married,secondary,no,823,no,no,8,aug,780,4,-1,0,yes
31,technician,single,secondary,no,2544,no,no,15,jul,252,1,184,3,yes
34,technician,single,secondary,no,666,no,no,21,aug,1503,2,-1,0,yes
26,services,married,secondary,no,54,yes,no,13,may,116,1,-1,0,no
35,management,married,tertiary,no,2957,yes,yes,8,aug,733,3,-1,0,yes
27,management,single,secondary,no,145,yes,no,5,may,121,4,89,3,no
60,blueCollar,married,secondary,no,196,no,no,20,jun,583,3,-1,0,no
39,technician,single,secondary,no,4646,yes,no,18,nov,486,1,-1,0,yes
26,blueCollar,single,secondary,no,277,no,no,14,may,514,2,-1,0,no
35,admin,married,secondary,no,-244,yes,yes,6,may,118,1,-1,0,no
43,management,married,tertiary,no,40,no,no,10,feb,147,1,-1,0,yes
42,management,divorced,tertiary,no,1064,no,no,18,aug,101,2,-1,0,no
33,blueCollar,married,unknown,no,2655,yes,no,21,nov,195,1,-1,0,no
47,management,married,tertiary,no,600,no,no,19,aug,290,15,-1,0,yes
45,unemployed,single,secondary,no,33,no,no,5,feb,437,1,-1,0,no
43,management,married,tertiary,no,3186,no,no,16,nov,380,1,88,1,yes
39,management,single,tertiary,no,633,no,no,19,nov,105,2,133,3,no
80,retired,married,primary,no,155,no,no,9,dec,343,2,-1,0,yes
44,admin,married,tertiary,no,348,yes,yes,16,feb,170,2,-1,0,yes
19,student,single,unknown,no,779,no,no,1,apr,184,4,-1,0,yes
59,retired,married,primary,no,2074,no,no,21,dec,467,1,186,2,yes
60,blueCollar,married,primary,no,5,no,no,29,oct,401,1,-1,0,yes
32,technician,divorced,secondary,no,1097,yes,no,12,may,298,2,-1,0,no
46,admin,divorced,secondary,no,-60,no,no,17,nov,117,1,-1,0,no
29,admin,married,secondary,no,252,yes,no,15,may,1223,3,371,1,no
73,retired,married,tertiary,no,1843,no,no,11,sep,106,2,-1,0,yes
57,management,married,tertiary,no,2845,yes,no,19,apr,1143,5,-1,0,yes
57,unemployed,married,primary,no,0,yes,no,20,nov,231,2,-1,0,no
33,blueCollar,married,secondary,no,0,yes,no,21,may,521,3,-1,0,yes
39,management,divorced,tertiary,no,3261,yes,no,9,jun,150,17,-1,0,no
42,management,married,tertiary,no,386,yes,no,7,may,168,1,-1,0,no
55,management,married,unknown,no,1504,yes,no,22,may,338,2,-1,0,yes
29,management,married,tertiary,no,8103,no,no,28,may,473,3,-1,0,yes
59,technician,married,secondary,no,10925,no,no,21,apr,100,1,-1,0,yes
26,admin,single,secondary,no,1099,no,no,15,jan,99,2,225,13,no
34,management,married,tertiary,no,297,yes,no,26,aug,63,4,-1,0,no
55,management,married,tertiary,no,23189,yes,no,14,may,77,1,-1,0,no
35,admin,single,tertiary,no,1374,yes,no,15,may,319,1,-1,0,no
61,retired,married,secondary,no,938,no,no,15,jul,392,2,183,3,yes
41,blueCollar,married,secondary,no,356,yes,no,14,may,90,5,-1,0,no
38,technician,married,tertiary,no,88,no,no,8,nov,282,2,186,4,yes
44,management,married,tertiary,no,7818,no,no,27,may,412,1,-1,0,yes
47,management,married,primary,yes,145,no,yes,1,jul,163,1,-1,0,no
40,technician,married,secondary,no,8379,no,no,12,jun,52,6,-1,0,no
44,services,married,secondary,no,850,no,yes,16,jul,220,5,-1,0,no
35,management,married,tertiary,no,867,yes,no,20,nov,298,2,171,3,no
33,management,single,tertiary,no,23,no,no,20,aug,216,3,-1,0,no
55,technician,married,secondary,no,0,no,no,27,jul,506,2,-1,0,no
30,management,single,tertiary,yes,35,no,no,30,jul,185,4,-1,0,no
25,admin,married,secondary,no,894,yes,no,28,may,328,1,-1,0,no
31,admin,single,tertiary,no,676,yes,no,22,apr,124,2,343,2,yes
43,entrepreneur,married,primary,no,2315,yes,yes,14,may,42,1,-1,0,no
27,technician,married,secondary,no,876,yes,no,18,may,268,1,355,1,no
31,services,married,secondary,no,414,yes,no,7,may,215,1,-1,0,no
52,entrepreneur,divorced,secondary,no,7,no,no,24,jul,150,5,-1,0,no
35,technician,married,secondary,no,0,yes,no,19,nov,644,4,-1,0,yes
47,technician,married,secondary,no,1167,yes,no,30,apr,968,1,87,5,yes
46,technician,married,secondary,no,9299,no,no,19,jul,1148,1,276,2,yes
38,technician,married,secondary,no,497,no,no,14,apr,173,1,-1,0,yes
73,retired,married,unknown,no,3443,no,no,4,sep,770,3,-1,0,yes
37,management,married,tertiary,no,5,no,no,29,aug,36,2,-1,0,no
66,management,married,unknown,no,2149,yes,no,26,may,135,2,90,11,yes
39,technician,single,tertiary,no,393,no,no,28,jun,325,1,94,1,yes
36,blueCollar,married,secondary,no,6699,yes,no,20,apr,201,3,-1,0,no
52,unemployed,married,primary,no,1724,no,no,29,jan,73,1,-1,0,no
45,blueCollar,married,primary,no,351,yes,no,19,jun,66,1,-1,0,no
39,blueCollar,divorced,secondary,no,33,no,no,29,jan,593,4,-1,0,no
37,management,married,tertiary,no,2672,yes,no,11,aug,549,1,-1,0,no
43,technician,single,unknown,no,11115,no,no,23,apr,291,1,182,3,yes
35,admin,married,secondary,no,3854,yes,no,5,may,131,1,-1,0,no
41,selfEmployed,single,unknown,no,426,yes,no,19,jun,75,1,-1,0,no
36,entrepreneur,single,secondary,no,296,no,no,18,nov,67,2,111,2,no
37,management,single,tertiary,no,2173,no,no,21,nov,158,3,114,1,no
35,housemaid,single,primary,no,745,no,no,5,jun,522,3,-1,0,yes
33,blueCollar,single,primary,no,1390,yes,no,21,may,192,1,-1,0,no
37,services,single,secondary,no,608,no,no,14,may,380,3,-1,0,no
52,management,married,tertiary,no,0,no,no,12,aug,106,2,-1,0,no
44,management,married,tertiary,no,-1636,yes,yes,11,may,257,1,-1,0,no
51,blueCollar,married,primary,no,0,no,no,20,nov,85,1,-1,0,no
34,management,married,tertiary,no,188,no,no,5,may,399,1,-1,0,no
35,management,married,tertiary,no,323,no,no,11,jan,261,2,-1,0,yes
42,housemaid,single,secondary,no,578,no,no,28,jan,44,1,-1,0,no
49,blueCollar,married,unknown,no,51,yes,no,7,may,984,1,-1,0,no
29,blueCollar,single,tertiary,no,455,no,no,22,oct,542,4,148,3,yes
40,management,married,tertiary,no,66,no,no,13,aug,737,4,-1,0,yes
63,selfEmployed,married,tertiary,no,661,no,no,2,mar,56,2,-1,0,no
57,blueCollar,married,primary,no,630,yes,no,29,may,52,1,-1,0,no
27,services,single,secondary,no,453,no,no,19,apr,142,2,-1,0,yes
36,technician,divorced,secondary,no,1,no,no,8,aug,1242,3,-1,0,yes
41,technician,married,secondary,no,10438,yes,no,15,jul,141,4,-1,0,no
53,blueCollar,married,secondary,no,1653,no,no,17,jun,88,2,-1,0,no
49,blueCollar,married,tertiary,no,1784,no,no,12,jun,753,1,-1,0,no
31,blueCollar,married,secondary,no,812,yes,no,23,sep,245,1,-1,0,no
46,services,married,primary,no,4343,yes,no,20,sep,185,1,-1,0,yes
32,technician,single,tertiary,no,5514,no,no,22,oct,181,1,-1,0,yes
50,entrepreneur,married,tertiary,no,-168,yes,no,23,jul,1327,2,-1,0,yes
32,blueCollar,single,secondary,no,567,yes,no,7,may,275,2,342,4,no
22,admin,single,tertiary,no,897,yes,no,4,feb,133,4,-1,0,yes
33,blueCollar,married,secondary,no,3576,yes,no,2,apr,124,1,308,2,no
30,management,single,tertiary,no,697,no,no,28,apr,545,2,181,8,yes
43,unknown,married,unknown,no,1517,no,no,20,jun,45,1,-1,0,no
54,unknown,married,secondary,no,2206,no,no,11,feb,449,1,91,3,yes
36,technician,married,tertiary,no,4596,yes,no,8,oct,234,2,175,2,yes
26,services,single,secondary,no,335,no,no,29,jan,393,2,-1,0,no
25,student,single,unknown,no,722,no,no,21,apr,623,2,-1,0,yes
44,entrepreneur,married,secondary,no,320,yes,yes,5,feb,269,3,234,2,no
31,management,single,tertiary,no,5205,no,no,9,jun,529,2,-1,0,yes
21,student,single,secondary,no,794,no,no,5,jun,191,1,-1,0,yes
48,management,married,primary,no,1744,no,no,9,jun,181,1,-1,0,no
48,management,married,tertiary,no,291,yes,no,23,jul,350,2,-1,0,no
58,technician,married,unknown,no,49,yes,no,15,may,75,2,-1,0,no
56,retired,married,secondary,no,1044,no,no,3,jul,353,2,-1,0,yes
31,management,single,tertiary,no,354,no,no,21,apr,242,2,-1,0,yes
27,technician,single,tertiary,no,501,no,yes,30,jan,370,4,-1,0,no
51,management,divorced,tertiary,no,93,yes,yes,6,may,221,1,-1,0,no
26,blueCollar,single,secondary,no,535,no,no,14,aug,125,1,-1,0,yes
37,technician,married,secondary,no,432,yes,no,6,jul,386,3,776,55,yes
30,admin,single,secondary,no,4448,no,no,11,feb,112,8,-1,0,yes
54,services,single,secondary,no,0,no,no,23,sep,209,1,-1,0,yes
37,management,married,secondary,no,5447,yes,yes,17,nov,1789,1,-1,0,yes
55,management,married,tertiary,no,16786,no,no,18,nov,90,1,-1,0,no
50,housemaid,married,secondary,no,388,no,no,8,jun,152,2,89,2,no
39,housemaid,married,secondary,no,953,no,no,30,jan,23,6,232,3,no
40,technician,single,tertiary,no,1175,no,no,14,apr,184,1,-1,0,yes
43,blueCollar,single,primary,no,0,no,no,9,may,71,3,-1,0,no
57,retired,married,tertiary,no,0,yes,yes,28,may,648,1,-1,0,yes
26,admin,single,secondary,no,2509,no,no,19,feb,654,3,-1,0,yes
55,retired,married,secondary,no,0,no,no,4,aug,1110,1,-1,0,yes
38,technician,divorced,tertiary,no,791,yes,no,26,may,89,2,-1,0,no
50,selfEmployed,single,secondary,no,766,yes,no,7,may,253,2,304,4,no
31,management,divorced,tertiary,no,373,no,no,10,feb,132,6,-1,0,yes
36,student,single,secondary,no,17,no,no,22,apr,621,1,-1,0,yes
56,management,divorced,tertiary,no,3287,no,no,27,apr,497,1,-1,0,yes
35,management,married,tertiary,no,4124,yes,no,23,jul,350,2,445,7,yes
36,blueCollar,divorced,secondary,no,638,yes,no,16,jun,1395,2,-1,0,yes
54,retired,married,secondary,no,522,no,yes,14,jul,81,3,-1,0,no
60,blueCollar,married,primary,no,493,no,no,18,aug,671,4,-1,0,yes
28,management,single,tertiary,no,957,no,no,25,may,915,2,-1,0,yes
82,retired,married,primary,no,243,no,no,26,jul,275,1,180,2,yes
34,blueCollar,married,secondary,no,2308,yes,no,7,may,1062,1,-1,0,no
32,admin,married,tertiary,no,390,yes,yes,5,may,100,1,243,1,no
45,entrepreneur,married,tertiary,no,219,yes,yes,28,jul,118,4,-1,0,no
34,management,single,tertiary,no,-292,yes,no,19,aug,181,6,-1,0,no
41,admin,single,secondary,no,985,yes,no,30,jun,274,2,391,11,yes
52,technician,divorced,secondary,no,1005,yes,no,2,jun,195,1,-1,0,yes
36,management,single,tertiary,no,-38,yes,no,14,may,784,1,-1,0,no
41,unemployed,married,tertiary,no,0,no,no,30,oct,373,3,-1,0,yes
34,management,married,tertiary,no,417,yes,no,18,nov,138,1,-1,0,no
33,services,divorced,unknown,no,392,yes,no,15,jul,753,4,-1,0,no
18,student,single,unknown,no,108,no,no,8,sep,169,1,-1,0,yes
47,services,single,unknown,no,1784,no,no,19,oct,385,2,-1,0,yes
31,admin,married,secondary,no,535,no,no,9,may,249,3,-1,0,no
39,management,married,tertiary,no,562,no,no,13,sep,303,2,-1,0,no
31,unemployed,single,secondary,no,209,yes,no,6,may,193,1,-1,0,no
63,housemaid,married,primary,no,333,no,no,1,oct,321,1,-1,0,no
30,blueCollar,single,secondary,no,7773,yes,no,20,nov,705,1,-1,0,yes
39,blueCollar,married,secondary,no,854,yes,yes,6,may,181,1,-1,0,no
29,admin,single,secondary,no,27,yes,no,6,may,754,1,-1,0,yes
47,selfEmployed,married,tertiary,no,1011,no,no,6,oct,808,1,-1,0,yes
42,blueCollar,married,unknown,no,452,yes,no,17,nov,359,2,-1,0,no
46,admin,married,secondary,no,526,no,yes,31,jul,251,3,-1,0,no
38,technician,married,tertiary,no,1042,yes,no,4,feb,419,2,-1,0,no
36,services,single,secondary,no,1227,yes,yes,4,may,775,5,341,3,yes
40,blueCollar,married,primary,no,137,no,yes,10,jul,214,1,-1,0,no
59,management,married,tertiary,no,2239,no,no,22,may,431,1,-1,0,yes
34,management,married,tertiary,no,362,yes,no,30,may,38,3,-1,0,no
37,technician,married,tertiary,yes,0,yes,no,14,may,93,14,-1,0,no
28,unemployed,married,secondary,no,863,yes,yes,27,may,355,1,-1,0,no
34,blueCollar,married,secondary,no,1454,yes,no,11,feb,231,2,297,2,yes
37,housemaid,married,secondary,no,7433,no,yes,5,feb,630,3,-1,0,yes
35,admin,married,secondary,no,1345,yes,no,23,jul,135,1,-1,0,no
43,management,single,tertiary,no,11891,no,no,4,dec,821,5,242,1,yes
37,technician,single,secondary,yes,375,no,no,9,jun,223,2,-1,0,no
57,housemaid,married,primary,no,0,no,no,13,aug,189,2,-1,0,no
35,services,married,secondary,no,4170,yes,no,20,may,1777,1,-1,0,yes
38,technician,married,tertiary,no,-1,no,no,8,aug,188,4,-1,0,no
35,admin,divorced,secondary,no,1085,no,no,4,feb,195,6,97,12,yes
31,unemployed,married,secondary,no,86,yes,yes,3,jun,963,2,-1,0,yes
33,services,single,secondary,no,406,yes,no,5,feb,61,1,275,1,no
36,blueCollar,married,primary,no,2079,yes,yes,19,may,403,2,-1,0,no
32,management,married,tertiary,no,393,no,no,28,jan,458,2,-1,0,no
31,services,married,secondary,no,447,no,no,4,jun,327,3,77,3,yes
36,services,single,secondary,no,-253,yes,no,14,apr,1073,1,-1,0,yes
34,blueCollar,married,secondary,no,261,yes,no,3,feb,88,5,251,3,no
60,retired,married,secondary,no,938,no,no,13,jan,380,3,-1,0,yes
38,services,single,secondary,no,2253,yes,no,13,may,937,3,-1,0,yes
58,management,married,tertiary,no,4152,yes,no,30,apr,750,2,164,4,yes
28,blueCollar,single,secondary,no,1348,yes,no,6,aug,221,2,-1,0,yes
56,management,married,tertiary,no,3120,yes,no,7,aug,666,2,-1,0,no
32,unemployed,married,secondary,no,365,yes,no,30,jan,210,3,-1,0,no
33,blueCollar,married,secondary,no,1402,no,no,20,nov,63,5,-1,0,no
26,admin,single,secondary,no,274,no,no,1,apr,351,3,-1,0,yes
38,blueCollar,married,secondary,no,376,yes,no,7,may,1521,1,-1,0,no
31,admin,single,secondary,no,-302,yes,yes,27,may,235,5,-1,0,no
40,selfEmployed,married,secondary,yes,-754,yes,yes,3,jun,941,3,-1,0,yes
56,services,married,secondary,no,1150,no,yes,17,nov,107,1,117,3,no
26,management,married,tertiary,no,775,no,no,19,may,35,3,-1,0,no
44,technician,married,secondary,no,135,yes,no,8,may,262,3,-1,0,no
51,blueCollar,married,secondary,no,4787,yes,no,7,apr,895,1,-1,0,yes
77,retired,married,primary,no,29340,no,no,15,mar,257,1,91,2,yes
33,management,married,tertiary,no,2599,no,no,30,apr,1373,2,-1,0,yes
57,management,divorced,unknown,no,2986,no,no,17,dec,222,2,231,1,yes
33,selfEmployed,single,tertiary,no,658,yes,no,21,oct,307,1,208,1,yes
27,housemaid,married,secondary,yes,65,yes,yes,17,jul,59,1,-1,0,no
25,management,married,secondary,no,2228,yes,no,23,jul,754,1,-1,0,yes
33,technician,married,secondary,no,264,no,no,28,aug,180,4,-1,0,no
36,blueCollar,married,primary,no,409,yes,no,11,jun,81,3,-1,0,no
39,blueCollar,married,secondary,no,1756,yes,no,3,apr,939,1,-1,0,yes
64,management,married,tertiary,no,3951,no,no,28,jan,134,1,91,1,yes
40,management,married,secondary,no,4025,yes,no,15,jul,107,4,-1,0,no
34,selfEmployed,single,tertiary,no,36,no,no,28,jan,55,1,-1,0,no
34,services,married,secondary,no,295,yes,yes,4,jul,64,1,-1,0,no
33,technician,married,secondary,no,399,yes,no,7,may,143,1,-1,0,no
36,technician,single,secondary,no,818,yes,yes,19,aug,96,4,-1,0,no
56,services,single,secondary,no,-40,yes,no,15,may,311,1,368,2,yes
47,blueCollar,married,primary,no,4227,yes,no,13,may,659,1,-1,0,yes
42,management,married,tertiary,no,877,yes,no,14,may,238,1,-1,0,no
38,blueCollar,single,primary,no,1583,yes,no,15,may,386,1,-1,0,no
33,technician,married,secondary,no,177,yes,yes,12,may,22,8,-1,0,no
35,blueCollar,married,primary,no,0,no,no,31,jul,57,4,-1,0,no
27,management,single,tertiary,no,1840,no,no,1,jun,220,1,28,8,yes
90,retired,divorced,primary,no,712,no,no,3,mar,557,1,-1,0,yes
27,blueCollar,single,secondary,no,535,no,no,15,feb,171,1,91,2,yes
26,student,single,secondary,no,655,no,no,16,sep,190,1,-1,0,yes
46,management,divorced,tertiary,no,624,no,no,17,sep,336,2,183,2,yes
37,technician,single,tertiary,no,0,yes,no,23,jul,366,6,-1,0,yes
32,admin,married,secondary,no,51,yes,yes,14,jan,203,1,87,2,yes
33,technician,divorced,secondary,no,370,yes,no,11,aug,145,4,-1,0,no
32,technician,single,secondary,no,540,no,yes,29,jan,750,1,-1,0,yes
28,blueCollar,married,secondary,no,61,yes,no,21,aug,744,1,109,3,yes
40,admin,married,secondary,no,1060,yes,no,17,apr,14,3,-1,0,no
33,management,single,tertiary,no,718,yes,no,6,apr,122,1,98,2,yes
59,retired,divorced,primary,no,-88,yes,no,5,jun,910,2,-1,0,yes
70,retired,married,secondary,no,2575,no,no,20,apr,216,2,-1,0,yes
29,technician,single,secondary,no,544,yes,no,13,may,360,1,-1,0,no
56,management,married,tertiary,no,412,no,no,20,nov,179,6,-1,0,no
37,technician,married,unknown,no,189,no,no,16,jun,162,2,-1,0,yes
47,management,married,secondary,no,2892,no,no,17,jun,556,1,-1,0,yes
58,management,married,secondary,no,37,no,no,18,aug,84,11,-1,0,no
29,admin,single,secondary,no,1992,no,no,12,apr,119,2,-1,0,no
57,retired,married,primary,no,1623,yes,yes,18,jul,246,1,-1,0,no
31,admin,married,secondary,no,368,yes,no,5,may,414,5,361,3,no
29,admin,single,tertiary,no,41,yes,no,13,aug,148,2,-1,0,yes
29,selfEmployed,single,tertiary,no,655,no,no,23,mar,273,1,-1,0,yes
31,technician,married,secondary,no,106,yes,no,13,may,101,13,-1,0,no
50,blueCollar,married,primary,no,565,yes,yes,28,aug,36,3,-1,0,no
32,management,married,tertiary,no,628,no,no,30,apr,280,1,-1,0,no
24,student,single,primary,no,474,no,no,30,apr,551,1,-1,0,yes
33,entrepreneur,married,tertiary,no,606,yes,no,2,feb,194,1,-1,0,no
30,admin,divorced,secondary,no,83,yes,yes,6,may,310,1,-1,0,no
48,technician,married,primary,no,788,no,no,9,jul,36,2,-1,0,no
37,management,married,tertiary,no,0,no,no,16,jul,268,2,182,3,yes
27,management,single,tertiary,no,390,no,no,28,oct,190,1,82,1,no
41,blueCollar,married,secondary,no,2067,yes,no,20,jun,120,4,-1,0,no
25,services,single,secondary,no,801,no,no,5,jun,255,2,-1,0,yes
62,retired,married,primary,no,1084,no,no,14,apr,505,1,-1,0,yes
56,retired,divorced,primary,no,48,yes,no,14,may,132,2,-1,0,no
40,technician,married,secondary,no,0,yes,yes,26,jul,105,2,172,1,no
57,management,married,tertiary,no,3431,yes,no,21,nov,55,2,189,1,no
32,technician,single,secondary,no,719,yes,no,28,may,79,6,-1,0,no
37,blueCollar,divorced,secondary,no,614,yes,no,20,may,185,1,-1,0,no
50,housemaid,single,primary,no,1158,yes,no,3,feb,116,3,265,3,no
42,blueCollar,divorced,primary,no,419,yes,yes,14,may,96,4,-1,0,no
42,selfEmployed,married,secondary,no,240,yes,no,4,feb,183,1,189,16,no
21,admin,single,secondary,no,524,no,no,26,may,185,1,-1,0,yes
56,admin,married,secondary,no,1554,yes,yes,6,feb,15,6,190,27,no
55,technician,married,unknown,no,240,yes,no,2,aug,108,3,277,1,yes
35,technician,single,tertiary,no,1880,no,no,20,may,154,1,-1,0,yes
70,retired,married,primary,no,2346,no,no,24,feb,694,1,184,5,yes
34,entrepreneur,married,secondary,no,456,yes,yes,28,aug,137,8,-1,0,no
35,management,married,tertiary,no,1133,yes,no,3,nov,102,1,-1,0,yes
58,selfEmployed,married,tertiary,no,5810,no,no,12,mar,139,1,-1,0,yes
42,management,married,tertiary,no,0,no,no,13,aug,325,2,-1,0,no
33,management,married,tertiary,no,644,yes,yes,3,feb,124,2,271,2,no
36,entrepreneur,single,tertiary,no,658,yes,no,16,jun,61,3,-1,0,no
49,management,married,tertiary,no,0,yes,no,18,nov,102,1,-1,0,no
30,services,single,secondary,no,-114,yes,no,21,jul,396,2,-1,0,no
50,blueCollar,married,primary,no,82,no,no,5,apr,456,1,-1,0,yes
44,blueCollar,single,primary,no,36,yes,no,15,may,551,1,371,2,yes
29,blueCollar,married,secondary,no,7863,yes,no,14,may,1129,1,-1,0,yes
36,blueCollar,single,secondary,no,1822,yes,no,8,apr,952,1,323,1,yes
44,blueCollar,single,primary,no,0,yes,no,24,jul,184,1,-1,0,no
30,management,single,tertiary,no,5561,yes,no,19,nov,511,1,-1,0,yes
41,selfEmployed,married,unknown,no,1377,yes,no,15,may,111,4,371,2,no
27,blueCollar,married,secondary,no,197,no,no,23,jul,222,1,-1,0,no
46,admin,single,secondary,no,1693,yes,no,20,oct,427,1,-1,0,yes
34,admin,married,secondary,no,-312,yes,no,9,may,232,1,-1,0,no
35,management,single,tertiary,no,0,no,yes,14,aug,370,4,-1,0,no
59,admin,married,secondary,no,0,yes,no,10,jul,982,1,-1,0,yes
35,admin,divorced,secondary,no,437,yes,no,4,jun,908,1,-1,0,yes
47,services,married,secondary,no,0,yes,no,9,jul,250,1,-1,0,no
57,management,married,tertiary,no,0,yes,no,21,nov,67,1,-1,0,no
48,blueCollar,married,primary,no,476,no,no,11,aug,856,3,-1,0,yes
45,blueCollar,married,secondary,no,2246,yes,yes,21,nov,197,2,99,2,no
31,management,married,tertiary,no,1514,no,no,12,aug,284,2,-1,0,no
58,management,married,tertiary,no,473,no,no,18,feb,1109,1,262,1,yes
40,housemaid,married,tertiary,no,795,yes,no,29,may,725,3,-1,0,no
29,management,single,tertiary,no,2955,no,no,29,apr,226,2,-1,0,yes
30,management,single,tertiary,no,617,no,no,27,feb,192,2,-1,0,yes
42,management,married,tertiary,no,2187,yes,no,17,nov,525,3,-1,0,yes
28,management,single,tertiary,no,890,yes,no,7,sep,201,1,-1,0,yes
48,management,married,tertiary,no,308,yes,no,14,jul,125,5,-1,0,no
37,technician,single,secondary,no,1211,yes,no,21,may,795,1,-1,0,yes
36,management,single,tertiary,no,1089,yes,no,30,may,126,1,-1,0,no
35,housemaid,married,primary,no,113,yes,no,17,jul,923,2,-1,0,yes
26,blueCollar,single,tertiary,no,644,no,no,2,dec,346,1,-1,0,yes
37,unemployed,single,tertiary,no,1032,no,no,4,feb,63,1,-1,0,no
47,blueCollar,married,primary,no,3038,yes,no,14,jul,151,2,-1,0,no
35,selfEmployed,single,tertiary,no,353,no,no,11,feb,352,1,183,1,yes
31,technician,single,tertiary,no,1081,no,no,24,apr,202,5,261,2,yes
31,selfEmployed,single,secondary,no,762,no,no,11,aug,312,3,-1,0,no
37,management,married,tertiary,no,2987,yes,no,15,feb,93,1,91,9,yes
23,housemaid,married,tertiary,no,66,yes,no,7,may,1391,2,-1,0,yes
44,management,married,tertiary,no,309,yes,no,5,feb,676,1,-1,0,yes
43,management,divorced,unknown,no,7702,no,no,22,may,460,1,95,2,yes
48,unemployed,married,secondary,no,817,no,no,16,jul,806,3,183,5,yes
30,technician,single,tertiary,no,3086,yes,no,7,may,84,3,168,1,no
52,admin,divorced,secondary,no,48,no,yes,17,nov,591,1,-1,0,no
21,entrepreneur,single,tertiary,no,2077,no,no,5,aug,323,1,-1,0,yes
49,management,married,tertiary,no,735,yes,no,13,may,50,3,-1,0,no
31,blueCollar,married,primary,no,196,no,no,7,aug,248,1,-1,0,no
34,admin,married,secondary,no,155,no,no,5,feb,696,2,-1,0,yes
25,services,married,secondary,no,4522,yes,no,18,may,177,4,-1,0,no
42,management,divorced,unknown,no,7702,no,no,16,feb,138,2,-1,0,yes
39,technician,married,secondary,no,211,no,no,6,feb,53,2,-1,0,no
40,services,married,secondary,no,0,yes,no,2,jun,297,1,28,3,no
42,admin,married,secondary,no,214,yes,no,28,may,21,24,-1,0,no
36,unemployed,single,tertiary,no,1291,no,no,3,feb,298,1,-1,0,yes
29,blueCollar,single,secondary,no,2891,yes,no,7,may,293,1,-1,0,no
41,retired,divorced,primary,no,-233,yes,no,15,may,1156,2,-1,0,yes
36,blueCollar,single,secondary,no,111,yes,no,6,may,174,3,-1,0,no
22,housemaid,single,secondary,no,1796,no,no,28,jun,369,3,-1,0,yes
44,blueCollar,married,primary,no,140,yes,no,15,may,7,9,-1,0,no
58,management,divorced,secondary,no,10180,no,no,3,mar,180,2,-1,0,yes
57,entrepreneur,married,tertiary,no,958,no,no,6,jun,250,2,-1,0,no
39,blueCollar,married,tertiary,no,597,no,no,16,jul,686,6,-1,0,yes
37,entrepreneur,married,tertiary,no,342,yes,no,6,jun,212,1,-1,0,no
47,admin,single,secondary,no,594,yes,no,7,may,161,1,-1,0,no
28,selfEmployed,married,secondary,no,123,no,yes,22,oct,313,1,-1,0,yes
39,technician,married,secondary,no,0,yes,no,5,may,203,1,-1,0,no
38,technician,married,secondary,no,5115,yes,no,2,jun,318,1,95,7,yes
26,student,single,tertiary,no,97,no,no,27,aug,382,1,-1,0,no
35,blueCollar,married,secondary,no,1454,yes,no,12,aug,323,1,182,4,yes
27,blueCollar,single,secondary,no,-208,yes,no,21,may,127,2,-1,0,no
33,management,married,tertiary,no,322,yes,no,16,apr,77,3,-1,0,no
29,unemployed,single,primary,no,1374,no,no,14,may,1205,2,178,7,yes
41,blueCollar,married,secondary,no,598,yes,no,12,may,69,3,364,11,no
32,unemployed,married,unknown,no,881,no,no,9,feb,79,5,-1,0,no
35,management,single,tertiary,no,2486,yes,no,25,may,265,1,-1,0,no
42,blueCollar,married,secondary,no,349,yes,no,7,apr,226,2,-1,0,no
32,management,single,tertiary,no,11,yes,yes,5,may,399,1,-1,0,no
31,admin,single,tertiary,no,-218,yes,no,2,jun,227,15,-1,0,no
61,selfEmployed,married,tertiary,no,10861,no,no,25,oct,225,1,91,5,yes
30,student,single,secondary,no,48,no,no,18,aug,161,1,173,1,yes
28,blueCollar,single,tertiary,no,1984,yes,no,4,may,32,2,14,1,no
31,technician,single,secondary,no,373,no,no,22,aug,346,5,-1,0,no
33,services,single,secondary,no,100,yes,no,14,may,11,8,297,7,no
