age,job,marital,education,default,balance,housing,loan,day,month,duration,campaign,pdays,previous
35,technician,married,secondary,no,128,no,yes,29,jan,456,1,205,2
42,management,married,tertiary,no,1205,no,no,8,sep,376,2,-1,0
53,technician,married,secondary,no,480,no,no,6,jun,648,2,-1,0
28,student,single,secondary,no,5916,no,no,22,may,259,1,63,5
34,admin,married,tertiary,no,69,no,yes,3,aug,263,3,251,3
63,retired,single,tertiary,no,791,no,no,21,oct,212,2,-1,0
71,retired,married,tertiary,no,14220,yes,no,9,sep,397,1,-1,0
55,admin,married,secondary,no,8304,no,no,1,jun,201,1,-1,0
43,blueCollar,married,primary,no,-192,yes,no,8,may,1120,2,-1,0
48,management,married,tertiary,no,1,no,no,10,nov,248,1,-1,0
37,technician,married,secondary,no,95,no,no,6,feb,454,3,-1,0
39,admin,married,secondary,no,3047,yes,no,11,may,279,1,370,2
53,management,divorced,tertiary,no,50,yes,no,15,may,669,1,337,3
36,admin,single,secondary,no,1328,no,no,30,jul,69,9,-1,0
37,housemaid,single,tertiary,no,561,no,no,18,nov,188,1,165,2
39,management,married,tertiary,no,208,no,no,20,aug,170,4,-1,0
57,services,divorced,primary,no,1367,no,no,9,jun,144,3,-1,0
58,management,divorced,primary,no,5914,no,no,17,jun,69,4,-1,0
44,management,married,tertiary,no,284,yes,yes,10,jul,109,5,-1,0
49,admin,married,secondary,no,3608,yes,no,30,apr,252,1,168,1
38,admin,divorced,secondary,no,930,yes,no,5,may,46,1,-1,0
34,technician,married,secondary,no,-259,yes,no,27,may,124,2,-1,0
44,blueCollar,single,primary,no,1308,no,yes,19,jun,161,1,-1,0
28,technician,single,secondary,no,6551,no,no,26,may,362,1,77,1
31,blueCollar,single,secondary,no,2093,no,no,7,jul,103,1,-1,0
59,retired,divorced,secondary,no,5845,no,no,14,may,1060,2,-1,0
60,retired,divorced,tertiary,no,2166,no,no,20,jun,8,9,-1,0
43,management,divorced,secondary,no,51,no,no,2,feb,430,1,-1,0
38,technician,divorced,secondary,no,1294,yes,no,29,may,565,1,-1,0
23,admin,single,tertiary,no,897,yes,no,8,feb,190,2,280,8
37,admin,single,tertiary,no,869,no,no,30,jul,60,8,-1,0
32,admin,single,secondary,no,-32,no,no,29,jan,320,1,185,5
29,services,single,secondary,no,1008,yes,no,23,may,426,9,-1,0
42,housemaid,married,primary,no,4279,yes,no,22,jul,98,1,-1,0
33,blueCollar,married,secondary,no,1464,yes,no,23,may,588,3,-1,0
57,unemployed,married,primary,no,2743,no,no,29,jan,89,1,-1,0
27,blueCollar,married,secondary,no,821,yes,yes,16,sep,23,1,778,41
56,management,married,tertiary,no,2333,no,no,4,may,244,1,-1,0
31,unemployed,single,secondary,no,284,yes,no,2,feb,855,1,-1,0
24,admin,single,secondary,no,1235,yes,yes,30,may,76,3,-1,0
25,services,single,secondary,no,2311,no,yes,21,jul,1105,2,-1,0
39,blueCollar,married,secondary,no,5222,yes,no,28,may,102,1,-1,0
41,technician,married,secondary,no,1066,no,no,11,feb,109,3,-1,0
33,admin,divorced,secondary,no,661,yes,no,4,may,90,4,167,3
33,management,married,tertiary,no,0,yes,no,14,apr,535,3,328,1
